ID,Music,Slow.songs.or.fast.songs,Dance,Folk,Country,Classical.music,Musical,Pop,Rock,Metal.or.Hardrock,Punk,Hiphop..Rap,Reggae..Ska,Swing..Jazz,Rock.n.roll,Alternative,Latino,Techno..Trance,Opera,Alcohol
90,5,3,3,2,1,4,3,3,5,3,3,1,2,4,4,4,2,1,3,social drinker
91,4,2,3,2,1,3,4,3,4,1,3,1,3,1,2,3,1,1,1,social drinker
92,5,5,1,5,1,NA,5,3,5,5,5,1,5,1,3,1,1,1,1,social drinker
93,5,2,1,3,4,4,4,2,3,1,2,1,3,5,4,3,3,1,4,social drinker
94,5,4,1,5,5,4,4,4,3,3,3,1,1,5,4,1,1,1,4,drink a lot
95,5,5,5,1,1,1,2,4,3,1,3,5,2,1,3,3,1,4,1,social drinker
96,5,3,3,2,2,4,3,3,3,1,2,5,5,4,4,2,3,2,2,drink a lot
97,5,3,1,1,1,1,1,2,4,5,4,3,1,1,1,4,1,4,1,drink a lot
98,5,3,2,1,1,1,1,2,1,1,1,5,2,2,1,1,1,2,1,drink a lot
99,3,5,5,1,1,1,1,3,5,2,1,1,3,2,2,5,5,3,1,drink a lot
100,5,3,4,1,1,2,2,4,2,1,3,2,4,1,2,1,4,1,1,social drinker
101,5,4,4,3,2,4,5,4,5,3,2,4,4,3,3,2,3,2,2,drink a lot
102,5,3,1,3,2,3,1,2,4,5,4,1,4,3,3,3,1,1,2,social drinker
103,5,3,1,2,3,5,4,1,5,2,5,1,4,5,5,5,2,1,4,social drinker
104,5,5,5,2,2,NA,4,5,1,1,1,5,5,4,3,2,5,4,4,drink a lot
105,4,4,3,3,2,4,2,2,4,4,3,3,3,4,4,4,3,3,2,drink a lot
106,5,5,1,3,1,3,2,2,4,5,1,1,2,3,1,1,1,1,2,social drinker
107,5,3,4,4,5,5,3,4,5,1,2,4,4,4,5,3,5,3,4,social drinker
108,5,3,1,1,1,2,2,2,4,4,1,1,3,4,2,4,2,1,NA,social drinker
109,4,3,2,2,1,4,1,2,4,4,3,2,1,1,2,3,2,2,3,social drinker
110,5,2,2,2,4,4,2,3,5,5,3,2,2,2,3,1,3,1,4,drink a lot
111,5,4,4,5,2,3,1,4,4,1,1,1,4,5,4,4,4,4,1,drink a lot
112,5,3,4,3,2,5,3,3,4,2,2,3,3,4,4,5,2,4,4,social drinker
113,5,3,4,2,2,4,3,3,3,2,2,1,3,4,2,3,5,4,1,social drinker
114,3,4,4,2,3,1,2,4,4,2,1,NA,1,1,2,2,2,5,1,social drinker
115,5,3,2,1,1,3,4,4,4,1,3,2,2,2,3,3,1,1,4,drink a lot
116,5,4,5,2,2,5,4,5,5,2,2,3,3,3,2,3,5,3,2,social drinker
117,5,3,2,2,2,2,1,3,5,1,2,1,1,2,4,5,2,1,1,social drinker
118,5,3,2,2,1,1,3,5,3,2,1,1,1,1,2,1,4,1,1,never
119,5,3,1,2,2,4,1,3,4,2,4,2,4,4,4,4,2,1,1,social drinker
120,4,2,4,2,1,3,2,4,2,2,1,2,2,2,2,1,2,3,2,social drinker
121,5,5,4,1,2,4,4,2,5,5,2,1,3,5,5,3,4,3,2,drink a lot
122,4,3,2,3,4,2,1,4,4,2,2,4,2,2,4,1,1,3,1,social drinker
123,5,3,3,2,2,5,3,1,5,2,4,1,3,4,4,5,3,1,3,social drinker
124,5,3,3,3,3,3,4,3,5,3,1,3,1,5,5,3,3,1,3,never
125,4,4,1,4,NA,5,5,3,5,3,3,1,2,4,5,2,3,1,3,social drinker
126,5,3,3,3,2,3,2,2,4,3,3,2,4,5,3,4,3,2,2,social drinker
127,3,5,4,1,1,3,1,4,4,1,4,4,1,1,1,2,1,1,1,social drinker
128,4,3,3,3,4,4,3,4,4,3,3,3,4,3,4,4,2,3,3,social drinker
129,5,5,5,1,5,5,5,5,5,5,1,2,3,1,5,5,5,5,2,never
130,5,4,5,3,1,2,2,4,5,2,2,2,3,4,3,4,3,1,1,social drinker
131,4,2,2,1,1,4,2,2,5,3,3,1,2,2,3,1,3,3,2,NA
132,5,4,3,1,1,2,2,4,2,1,2,5,2,1,1,1,1,3,1,social drinker
133,5,4,3,1,1,1,1,4,4,1,5,2,4,3,2,2,2,1,1,never
134,5,3,2,4,1,4,2,1,3,1,1,1,2,5,1,1,3,1,3,social drinker
135,5,3,4,3,3,3,3,3,3,1,1,4,4,4,4,4,4,4,2,social drinker
136,5,3,2,1,3,5,1,3,5,4,4,3,5,4,4,5,1,1,3,drink a lot
137,5,3,4,3,2,3,2,4,3,1,1,5,1,1,1,1,1,1,3,never
138,5,3,4,3,3,5,5,5,4,2,2,4,3,5,4,3,4,2,2,never
139,5,3,2,3,3,4,5,2,1,1,1,3,3,4,4,2,3,1,2,never
140,5,4,5,3,2,3,3,5,4,1,2,5,3,4,4,1,2,3,2,social drinker
141,5,4,3,2,1,2,3,4,4,2,2,2,2,5,3,2,4,3,2,social drinker
142,3,4,1,3,1,3,1,3,5,5,4,4,3,1,1,5,5,2,1,social drinker
143,5,4,4,1,3,2,2,4,4,1,1,3,2,1,1,2,3,2,1,social drinker
144,5,4,4,2,1,1,2,4,4,2,3,5,4,1,1,3,3,3,1,social drinker
145,5,2,3,1,2,3,2,NA,5,1,3,2,2,2,4,3,4,4,2,social drinker
146,1,4,4,1,1,2,2,2,4,1,1,1,2,1,1,3,2,3,2,social drinker
147,5,3,5,2,1,4,1,5,4,3,4,5,1,1,1,1,2,NA,1,never
148,5,4,3,2,3,2,2,3,5,4,3,5,2,2,2,4,2,1,1,social drinker
149,4,3,4,4,4,3,3,5,3,2,3,4,3,2,4,3,3,3,2,social drinker
150,2,3,1,3,1,3,4,1,2,2,2,3,2,1,1,1,1,1,2,never
151,5,2,2,2,3,4,4,3,5,5,3,1,2,4,4,3,1,1,4,never
152,5,4,3,1,1,3,2,2,4,4,4,2,5,4,4,4,2,2,1,never
153,5,3,5,2,2,3,3,4,4,2,1,4,3,3,4,3,2,2,2,drink a lot
154,2,5,5,2,2,3,2,4,2,1,2,4,1,4,2,1,3,3,3,social drinker
155,5,3,1,2,4,5,1,1,5,4,4,2,2,3,3,3,2,1,3,drink a lot
156,5,4,4,3,3,5,2,3,3,2,3,3,2,4,3,4,2,2,3,social drinker
157,5,4,2,4,3,4,2,3,5,2,5,3,5,2,3,3,2,1,2,drink a lot
158,5,5,4,4,4,2,2,4,4,4,4,2,2,2,1,2,1,1,2,social drinker
159,5,3,4,2,1,3,2,5,4,1,3,4,5,4,3,3,2,5,1,never
160,5,3,4,4,3,5,4,4,5,3,3,3,4,3,3,4,3,3,3,social drinker
161,5,3,3,2,1,2,1,1,5,4,5,3,5,4,4,5,1,3,1,social drinker
162,5,3,2,2,2,2,2,4,5,3,3,4,3,2,3,2,2,3,2,social drinker
163,4,2,3,5,4,5,2,4,3,1,1,5,4,3,2,1,5,1,3,social drinker
164,5,5,3,1,1,2,1,4,3,2,1,1,1,1,1,3,1,5,1,social drinker
165,5,4,4,2,1,3,2,4,NA,1,3,2,2,4,4,5,2,3,2,social drinker
166,5,4,5,2,4,3,1,4,1,1,1,5,3,3,2,1,5,2,1,social drinker
167,5,5,1,2,1,3,1,1,3,5,2,1,1,1,1,2,2,1,5,drink a lot
168,3,3,3,2,2,NA,2,3,4,3,4,4,4,3,3,3,3,3,2,drink a lot
169,5,4,4,1,2,4,3,4,4,1,3,3,3,3,4,2,1,1,1,social drinker
170,5,3,2,1,2,4,4,3,5,4,3,1,1,3,3,4,1,1,1,social drinker
171,4,3,2,3,2,2,1,3,4,2,2,2,3,5,4,5,4,1,1,drink a lot
172,5,4,3,1,2,4,3,4,4,1,1,4,3,3,3,2,1,1,1,social drinker
173,5,3,2,3,3,4,4,2,5,5,5,2,4,4,4,4,2,1,3,social drinker
174,5,3,2,1,2,4,4,3,2,1,1,2,1,2,3,2,1,5,4,social drinker
175,5,2,1,5,3,3,3,1,1,1,1,1,1,1,1,1,3,1,5,social drinker
176,5,3,1,1,1,5,3,3,5,5,2,3,4,4,4,2,4,2,1,never
177,5,3,3,NA,1,1,1,3,5,5,3,2,4,3,5,4,1,2,1,social drinker
178,5,3,1,4,2,4,3,1,5,5,3,1,3,3,3,5,2,1,3,never
179,4,3,1,3,3,5,2,2,4,4,3,1,2,2,4,3,2,1,4,social drinker
180,4,3,1,2,2,5,2,1,1,2,1,1,1,4,1,1,1,4,5,never
181,4,4,2,1,1,3,3,2,5,4,5,2,2,1,4,4,1,1,1,social drinker
182,5,3,4,3,3,4,3,3,4,3,3,4,4,5,3,3,5,3,3,social drinker
183,5,3,4,3,2,4,4,4,5,4,3,2,4,3,2,3,4,1,5,social drinker
184,5,3,3,2,1,2,5,4,3,1,1,5,4,4,3,4,3,4,3,drink a lot
185,5,4,2,2,2,3,4,2,5,1,2,1,1,4,5,5,1,1,2,drink a lot
186,3,3,3,1,1,2,5,3,2,1,1,4,3,3,4,1,5,3,1,never
187,4,2,2,4,2,3,3,4,2,1,1,1,1,3,2,2,3,2,4,social drinker
188,5,3,1,2,2,2,1,4,3,2,2,1,1,2,1,5,1,5,1,social drinker
189,3,3,3,3,2,5,4,3,3,1,1,3,2,2,2,2,2,1,4,social drinker
190,5,3,1,3,2,5,3,1,4,5,4,1,1,1,3,2,1,1,4,social drinker
191,4,4,2,2,2,4,2,2,4,5,3,2,3,2,3,3,2,2,3,social drinker
192,5,3,2,5,2,4,5,5,2,1,1,1,3,4,3,4,3,1,4,social drinker
193,5,1,4,1,2,3,3,5,4,1,3,5,2,1,3,2,3,4,1,social drinker
194,5,3,1,4,3,5,3,1,5,5,4,1,3,3,5,5,1,1,3,never
195,5,4,1,2,1,3,2,2,4,2,4,2,3,1,5,5,1,1,1,drink a lot
196,5,3,2,2,2,3,2,2,3,1,1,5,3,3,3,3,2,1,2,never
197,5,3,2,2,2,2,3,4,4,3,3,4,4,3,3,3,3,3,3,social drinker
198,5,3,3,2,3,1,4,2,2,1,1,3,2,2,1,1,3,1,1,social drinker
199,5,3,3,4,2,2,2,3,5,3,5,5,4,2,5,2,2,2,2,drink a lot
200,5,4,4,1,1,1,1,2,3,1,1,4,2,1,1,1,2,4,1,social drinker
201,4,3,3,1,2,4,3,4,4,4,3,5,4,3,4,2,2,2,1,social drinker
202,5,3,2,4,3,3,3,5,5,NA,3,5,5,1,5,5,3,2,1,social drinker
203,5,3,5,1,1,1,1,3,2,1,1,5,3,1,1,1,1,4,1,never
204,5,3,4,2,2,3,1,4,5,3,3,3,3,2,2,2,4,3,3,social drinker
205,5,3,3,3,2,3,3,2,5,4,4,2,5,4,5,4,3,1,2,drink a lot
206,5,1,2,4,3,5,5,4,4,3,1,1,1,4,5,3,4,1,5,social drinker
207,5,3,5,2,2,5,5,3,4,4,3,1,2,4,4,3,1,1,5,drink a lot
208,5,3,2,3,3,4,5,3,3,1,4,2,2,3,4,2,4,1,4,social drinker
209,5,3,3,2,1,3,2,4,4,1,5,4,5,5,5,3,3,1,2,social drinker
210,5,2,4,3,3,4,3,2,5,4,3,5,4,5,4,2,4,2,2,social drinker
211,5,4,5,5,5,5,1,4,5,4,3,4,4,4,5,3,4,5,1,social drinker
212,5,4,5,1,2,2,5,5,5,1,1,5,4,4,5,2,5,4,1,social drinker
213,5,3,1,3,3,5,1,2,4,2,3,3,2,4,5,5,1,2,5,drink a lot
214,5,4,4,2,3,3,4,5,5,2,5,4,2,2,2,4,3,5,2,social drinker
215,4,3,2,2,2,3,3,3,5,4,3,2,2,5,5,4,3,1,2,social drinker
216,1,3,2,2,1,1,1,3,1,1,1,5,1,1,1,1,5,1,1,social drinker
217,5,4,1,1,1,1,1,1,4,5,3,2,1,1,3,1,1,2,1,drink a lot
218,5,3,4,1,3,2,5,4,3,1,2,3,1,2,4,4,3,2,3,social drinker
219,5,4,2,1,3,2,3,4,3,1,1,4,3,1,2,2,1,3,2,social drinker
220,5,5,5,1,1,1,2,3,1,1,1,5,2,1,1,1,2,5,1,social drinker
221,5,3,4,3,3,4,2,1,3,1,2,5,4,4,2,5,3,1,3,drink a lot
222,5,3,4,5,1,4,3,3,5,5,4,5,5,5,4,4,3,4,3,drink a lot
223,5,3,3,2,4,4,3,5,5,3,3,2,1,4,3,3,3,1,1,social drinker
224,5,3,3,3,2,3,1,4,2,2,1,4,3,4,2,2,5,2,2,social drinker
225,5,3,2,2,3,5,4,4,5,3,4,3,3,2,3,5,2,1,2,social drinker
226,5,4,2,3,2,4,4,2,5,2,4,3,4,4,5,5,3,2,2,social drinker
227,5,5,5,5,4,NA,3,4,5,3,3,5,3,2,NA,1,NA,3,1,social drinker
228,5,2,2,4,3,5,3,2,4,3,3,2,3,5,3,4,4,1,3,social drinker
229,4,3,3,5,3,4,2,3,3,1,2,1,2,5,4,4,3,2,3,social drinker
230,4,3,4,2,4,1,1,4,3,1,4,2,5,3,3,2,2,3,3,social drinker
231,5,2,2,5,4,5,5,5,3,1,3,4,3,3,3,3,5,2,3,drink a lot
232,5,1,3,2,3,2,2,4,5,3,3,1,2,3,5,1,5,1,1,social drinker
233,5,3,1,2,4,4,1,2,3,2,2,3,4,5,3,1,4,3,1,social drinker
234,4,4,4,2,2,4,3,4,4,4,4,4,4,2,4,3,4,4,1,social drinker
235,4,4,4,4,3,2,1,4,5,4,4,2,4,1,3,4,5,1,1,social drinker
236,5,3,1,1,1,3,3,3,5,4,2,1,1,3,4,2,4,1,2,never
237,1,3,3,3,2,3,5,4,4,3,3,2,4,3,4,2,4,1,1,drink a lot
238,5,4,4,2,1,3,3,4,3,1,1,5,4,3,2,2,5,3,2,social drinker
239,5,2,2,1,2,2,3,4,2,1,1,5,3,2,3,2,4,1,1,drink a lot
240,5,3,4,2,1,5,2,2,4,1,3,3,3,4,4,4,2,2,4,social drinker
241,3,4,2,1,1,1,1,2,3,2,1,2,2,2,2,2,1,2,1,never
242,5,4,2,1,1,3,5,3,3,1,2,5,3,3,3,3,2,1,4,social drinker
243,3,3,3,2,1,2,5,5,4,1,1,1,1,2,2,1,4,1,3,never
244,NA,3,2,1,2,4,5,5,5,1,4,1,2,4,5,4,3,1,2,social drinker
245,5,3,5,2,4,3,5,5,5,2,3,2,3,3,4,3,5,2,1,social drinker
246,5,3,2,3,3,2,2,3,4,3,4,4,5,4,5,5,3,1,1,social drinker
247,5,3,3,2,3,4,1,4,5,2,2,3,4,4,4,1,5,1,4,never
248,5,3,3,2,1,4,5,3,5,2,3,3,4,5,3,5,4,2,1,drink a lot
249,5,3,4,1,1,4,3,4,5,4,3,4,2,2,2,2,2,3,3,social drinker
250,5,3,3,4,4,4,4,5,5,4,4,2,2,4,4,4,5,2,4,social drinker
251,5,3,3,2,1,2,2,4,3,2,2,4,4,2,2,2,4,2,1,social drinker
252,5,5,5,2,2,3,5,5,5,2,4,4,4,3,3,2,4,5,2,social drinker
253,5,2,2,2,3,3,3,4,5,1,2,2,1,3,2,5,4,2,4,social drinker
254,5,3,3,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,social drinker
255,5,3,5,3,2,2,5,5,3,1,1,4,2,1,5,2,5,3,2,social drinker
256,5,3,2,5,4,5,5,3,5,4,3,3,3,4,4,4,5,1,4,social drinker
257,5,3,3,4,2,1,2,5,2,1,1,3,2,1,2,1,5,1,1,social drinker
258,5,3,5,3,2,3,3,4,4,3,1,4,2,3,3,3,2,5,2,social drinker
259,5,4,1,2,1,5,1,1,5,5,2,1,1,4,3,5,2,1,1,social drinker
260,2,3,3,3,3,2,2,3,4,2,2,2,1,3,5,2,5,1,5,social drinker
261,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,never
262,5,3,4,2,3,2,2,5,2,1,2,2,1,1,1,1,3,1,1,social drinker
263,5,4,3,4,2,5,4,2,5,2,1,3,3,5,3,5,2,3,4,social drinker
264,5,5,5,2,2,2,4,5,4,2,2,4,3,2,4,3,5,3,2,drink a lot
265,3,3,3,3,1,3,3,5,4,3,3,5,4,3,3,3,3,3,3,social drinker
266,5,3,3,2,1,2,3,5,2,1,1,4,3,3,2,1,1,1,1,social drinker
267,5,3,3,3,2,3,3,4,4,1,1,2,2,4,3,1,4,1,2,social drinker
268,5,3,4,3,4,4,3,2,4,4,4,3,2,2,3,2,3,2,3,never
269,5,3,3,2,1,2,2,5,2,1,1,2,3,3,3,2,5,1,2,never
270,5,3,3,1,2,4,4,3,5,3,4,1,1,1,3,2,4,2,4,social drinker
271,5,3,3,2,1,1,3,4,5,4,5,5,5,5,5,5,3,2,1,social drinker
272,5,3,4,3,1,1,1,4,5,5,5,5,5,4,5,4,2,1,1,social drinker
273,5,3,2,4,3,5,3,2,5,5,5,2,5,4,3,5,2,1,5,social drinker
274,5,3,4,2,2,4,4,4,4,2,4,4,4,5,4,4,4,4,3,drink a lot
275,5,4,5,3,3,2,2,4,3,1,1,4,3,2,4,1,3,2,1,social drinker
276,5,3,3,3,4,4,5,3,4,4,3,2,2,4,3,3,5,4,3,drink a lot
277,5,4,5,3,5,2,2,5,5,4,3,1,1,1,4,3,3,1,1,never
278,5,3,2,1,3,3,1,4,5,3,1,2,2,3,5,1,2,2,2,social drinker
279,5,4,3,5,2,4,3,3,4,2,3,5,5,2,3,5,4,3,3,social drinker
280,5,3,4,2,2,2,1,4,3,1,3,3,3,1,1,1,2,2,1,social drinker
281,5,3,4,2,1,3,4,2,5,5,3,2,3,2,2,4,5,5,2,social drinker
282,5,3,4,2,3,4,1,2,4,4,5,4,4,5,5,2,5,3,2,drink a lot
283,5,3,1,1,2,1,2,3,2,1,1,1,2,1,2,2,3,1,1,never
284,5,3,4,2,3,3,2,4,4,2,4,4,NA,5,3,2,3,3,2,social drinker
285,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,social drinker
286,5,4,3,1,1,3,3,5,5,1,1,3,1,2,1,1,1,1,4,social drinker
287,5,3,3,2,2,4,3,4,4,1,3,5,5,3,3,4,4,1,1,social drinker
288,5,3,3,1,1,3,2,4,4,2,4,4,1,3,3,4,2,3,3,social drinker
289,5,3,5,3,NA,3,1,2,3,2,1,4,4,2,3,1,4,5,1,never
290,5,3,4,2,2,3,4,4,4,2,2,4,1,2,4,1,NA,2,3,drink a lot
291,4,3,4,1,1,2,4,4,4,1,1,4,3,4,4,3,4,1,1,social drinker
292,4,3,3,3,3,3,3,3,5,4,4,3,4,3,4,3,3,2,3,social drinker
293,5,4,5,2,3,2,5,5,4,1,3,3,3,3,3,3,5,2,1,social drinker
294,5,1,2,2,2,4,4,1,5,4,5,1,4,3,3,5,2,1,2,never
295,5,3,2,2,1,4,2,3,4,1,4,NA,4,4,3,4,4,1,2,never
296,5,3,3,2,5,3,3,4,5,3,2,2,4,3,5,5,3,1,4,drink a lot
297,5,4,5,1,1,1,1,5,3,2,2,2,4,1,3,3,1,5,1,drink a lot
298,5,3,2,1,2,3,2,2,3,2,3,1,3,3,2,4,2,4,2,social drinker
299,5,3,5,2,3,2,2,4,3,1,1,5,4,4,5,1,5,2,1,drink a lot
300,5,3,4,1,1,3,4,2,4,1,3,5,5,3,2,2,3,1,2,social drinker
301,5,2,1,5,2,5,2,2,4,5,3,1,1,3,3,5,1,1,5,social drinker
302,4,2,1,2,1,5,2,1,5,5,1,1,1,2,1,2,1,1,4,social drinker
303,5,4,5,4,1,2,5,5,5,2,2,5,3,1,4,1,5,1,2,social drinker
304,4,5,2,2,4,2,5,4,5,4,2,4,2,2,3,1,5,1,1,social drinker
305,5,3,2,2,1,4,4,4,4,2,1,2,3,2,2,1,2,1,3,social drinker
306,5,3,3,2,1,2,2,2,5,2,3,2,2,3,4,5,1,1,2,social drinker
