ID,Music,Slow.songs.or.fast.songs,Dance,Folk,Country,Classical.music,Musical,Pop,Rock,Metal.or.Hardrock,Punk,Hiphop..Rap,Reggae..Ska,Swing..Jazz,Rock.n.roll,Alternative,Latino,Techno..Trance,Opera,Education
131,4,2,2,1,1,4,2,2,5,3,3,1,2,2,3,1,3,3,2,secondary school
132,5,4,3,1,1,2,2,4,2,1,2,5,2,1,1,1,1,3,1,primary school
133,5,4,3,1,1,1,1,4,4,1,5,2,4,3,2,2,2,1,1,primary school
134,5,3,2,4,1,4,2,1,3,1,1,1,2,5,1,1,3,1,3,college/bachelor degree
135,5,3,4,3,3,3,3,3,3,1,1,4,4,4,4,4,4,4,2,secondary school
136,5,3,2,1,3,5,1,3,5,4,4,3,5,4,4,5,1,1,3,secondary school
137,5,3,4,3,2,3,2,4,3,1,1,5,1,1,1,1,1,1,3,secondary school
138,5,3,4,3,3,5,5,5,4,2,2,4,3,5,4,3,4,2,2,primary school
139,5,3,2,3,3,4,5,2,1,1,1,3,3,4,4,2,3,1,2,secondary school
140,5,4,5,3,2,3,3,5,4,1,2,5,3,4,4,1,2,3,2,college/bachelor degree
141,5,4,3,2,1,2,3,4,4,2,2,2,2,5,3,2,4,3,2,college/bachelor degree
142,3,4,1,3,1,3,1,3,5,5,4,4,3,1,1,5,5,2,1,primary school
143,5,4,4,1,3,2,2,4,4,1,1,3,2,1,1,2,3,2,1,primary school
144,5,4,4,2,1,1,2,4,4,2,3,5,4,1,1,3,3,3,1,secondary school
145,5,2,3,1,2,3,2,NA,5,1,3,2,2,2,4,3,4,4,2,secondary school
146,1,4,4,1,1,2,2,2,4,1,1,1,2,1,1,3,2,3,2,secondary school
147,5,3,5,2,1,4,1,5,4,3,4,5,1,1,1,1,2,NA,1,secondary school
148,5,4,3,2,3,2,2,3,5,4,3,5,2,2,2,4,2,1,1,secondary school
149,4,3,4,4,4,3,3,5,3,2,3,4,3,2,4,3,3,3,2,secondary school
150,2,3,1,3,1,3,4,1,2,2,2,3,2,1,1,1,1,1,2,college/bachelor degree
151,5,2,2,2,3,4,4,3,5,5,3,1,2,4,4,3,1,1,4,secondary school
152,5,4,3,1,1,3,2,2,4,4,4,2,5,4,4,4,2,2,1,secondary school
153,5,3,5,2,2,3,3,4,4,2,1,4,3,3,4,3,2,2,2,college/bachelor degree
154,2,5,5,2,2,3,2,4,2,1,2,4,1,4,2,1,3,3,3,college/bachelor degree
155,5,3,1,2,4,5,1,1,5,4,4,2,2,3,3,3,2,1,3,college/bachelor degree
156,5,4,4,3,3,5,2,3,3,2,3,3,2,4,3,4,2,2,3,secondary school
157,5,4,2,4,3,4,2,3,5,2,5,3,5,2,3,3,2,1,2,doctorate degree
158,5,5,4,4,4,2,2,4,4,4,4,2,2,2,1,2,1,1,2,masters degree
159,5,3,4,2,1,3,2,5,4,1,3,4,5,4,3,3,2,5,1,currently a primary school pupil
160,5,3,4,4,3,5,4,4,5,3,3,3,4,3,3,4,3,3,3,secondary school
161,5,3,3,2,1,2,1,1,5,4,5,3,5,4,4,5,1,3,1,secondary school
162,5,3,2,2,2,2,2,4,5,3,3,4,3,2,3,2,2,3,2,secondary school
163,4,2,3,5,4,5,2,4,3,1,1,5,4,3,2,1,5,1,3,college/bachelor degree
164,5,5,3,1,1,2,1,4,3,2,1,1,1,1,1,3,1,5,1,secondary school
165,5,4,4,2,1,3,2,4,NA,1,3,2,2,4,4,5,2,3,2,secondary school
166,5,4,5,2,4,3,1,4,1,1,1,5,3,3,2,1,5,2,1,college/bachelor degree
167,5,5,1,2,1,3,1,1,3,5,2,1,1,1,1,2,2,1,5,secondary school
168,3,3,3,2,2,NA,2,3,4,3,4,4,4,3,3,3,3,3,2,primary school
169,5,4,4,1,2,4,3,4,4,1,3,3,3,3,4,2,1,1,1,secondary school
170,5,3,2,1,2,4,4,3,5,4,3,1,1,3,3,4,1,1,1,secondary school
171,4,3,2,3,2,2,1,3,4,2,2,2,3,5,4,5,4,1,1,secondary school
172,5,4,3,1,2,4,3,4,4,1,1,4,3,3,3,2,1,1,1,secondary school
173,5,3,2,3,3,4,4,2,5,5,5,2,4,4,4,4,2,1,3,secondary school
174,5,3,2,1,2,4,4,3,2,1,1,2,1,2,3,2,1,5,4,secondary school
175,5,2,1,5,3,3,3,1,1,1,1,1,1,1,1,1,3,1,5,secondary school
176,5,3,1,1,1,5,3,3,5,5,2,3,4,4,4,2,4,2,1,primary school
177,5,3,3,NA,1,1,1,3,5,5,3,2,4,3,5,4,1,2,1,college/bachelor degree
178,5,3,1,4,2,4,3,1,5,5,3,1,3,3,3,5,2,1,3,masters degree
179,4,3,1,3,3,5,2,2,4,4,3,1,2,2,4,3,2,1,4,masters degree
180,4,3,1,2,2,5,2,1,1,2,1,1,1,4,1,1,1,4,5,secondary school
181,4,4,2,1,1,3,3,2,5,4,5,2,2,1,4,4,1,1,1,secondary school
182,5,3,4,3,3,4,3,3,4,3,3,4,4,5,3,3,5,3,3,secondary school
183,5,3,4,3,2,4,4,4,5,4,3,2,4,3,2,3,4,1,5,secondary school
184,5,3,3,2,1,2,5,4,3,1,1,5,4,4,3,4,3,4,3,college/bachelor degree
185,5,4,2,2,2,3,4,2,5,1,2,1,1,4,5,5,1,1,2,college/bachelor degree
186,3,3,3,1,1,2,5,3,2,1,1,4,3,3,4,1,5,3,1,secondary school
187,4,2,2,4,2,3,3,4,2,1,1,1,1,3,2,2,3,2,4,masters degree
188,5,3,1,2,2,2,1,4,3,2,2,1,1,2,1,5,1,5,1,college/bachelor degree
189,3,3,3,3,2,5,4,3,3,1,1,3,2,2,2,2,2,1,4,college/bachelor degree
190,5,3,1,3,2,5,3,1,4,5,4,1,1,1,3,2,1,1,4,primary school
191,4,4,2,2,2,4,2,2,4,5,3,2,3,2,3,3,2,2,3,primary school
192,5,3,2,5,2,4,5,5,2,1,1,1,3,4,3,4,3,1,4,masters degree
193,5,1,4,1,2,3,3,5,4,1,3,5,2,1,3,2,3,4,1,secondary school
194,5,3,1,4,3,5,3,1,5,5,4,1,3,3,5,5,1,1,3,masters degree
195,5,4,1,2,1,3,2,2,4,2,4,2,3,1,5,5,1,1,1,secondary school
196,5,3,2,2,2,3,2,2,3,1,1,5,3,3,3,3,2,1,2,secondary school
197,5,3,2,2,2,2,3,4,4,3,3,4,4,3,3,3,3,3,3,secondary school
198,5,3,3,2,3,1,4,2,2,1,1,3,2,2,1,1,3,1,1,college/bachelor degree
199,5,3,3,4,2,2,2,3,5,3,5,5,4,2,5,2,2,2,2,secondary school
200,5,4,4,1,1,1,1,2,3,1,1,4,2,1,1,1,2,4,1,secondary school
201,4,3,3,1,2,4,3,4,4,4,3,5,4,3,4,2,2,2,1,secondary school
202,5,3,2,4,3,3,3,5,5,NA,3,5,5,1,5,5,3,2,1,secondary school
203,5,3,5,1,1,1,1,3,2,1,1,5,3,1,1,1,1,4,1,primary school
204,5,3,4,2,2,3,1,4,5,3,3,3,3,2,2,2,4,3,3,college/bachelor degree
205,5,3,3,3,2,3,3,2,5,4,4,2,5,4,5,4,3,1,2,college/bachelor degree
206,5,1,2,4,3,5,5,4,4,3,1,1,1,4,5,3,4,1,5,secondary school
207,5,3,5,2,2,5,5,3,4,4,3,1,2,4,4,3,1,1,5,college/bachelor degree
208,5,3,2,3,3,4,5,3,3,1,4,2,2,3,4,2,4,1,4,college/bachelor degree
209,5,3,3,2,1,3,2,4,4,1,5,4,5,5,5,3,3,1,2,secondary school
210,5,2,4,3,3,4,3,2,5,4,3,5,4,5,4,2,4,2,2,secondary school
211,5,4,5,5,5,5,1,4,5,4,3,4,4,4,5,3,4,5,1,secondary school
212,5,4,5,1,2,2,5,5,5,1,1,5,4,4,5,2,5,4,1,secondary school
213,5,3,1,3,3,5,1,2,4,2,3,3,2,4,5,5,1,2,5,secondary school
214,5,4,4,2,3,3,4,5,5,2,5,4,2,2,2,4,3,5,2,secondary school
215,4,3,2,2,2,3,3,3,5,4,3,2,2,5,5,4,3,1,2,primary school
216,1,3,2,2,1,1,1,3,1,1,1,5,1,1,1,1,5,1,1,secondary school
217,5,4,1,1,1,1,1,1,4,5,3,2,1,1,3,1,1,2,1,secondary school
218,5,3,4,1,3,2,5,4,3,1,2,3,1,2,4,4,3,2,3,primary school
219,5,4,2,1,3,2,3,4,3,1,1,4,3,1,2,2,1,3,2,primary school
220,5,5,5,1,1,1,2,3,1,1,1,5,2,1,1,1,2,5,1,secondary school
221,5,3,4,3,3,4,2,1,3,1,2,5,4,4,2,5,3,1,3,secondary school
222,5,3,4,5,1,4,3,3,5,5,4,5,5,5,4,4,3,4,3,masters degree
223,5,3,3,2,4,4,3,5,5,3,3,2,1,4,3,3,3,1,1,secondary school
224,5,3,3,3,2,3,1,4,2,2,1,4,3,4,2,2,5,2,2,secondary school
225,5,3,2,2,3,5,4,4,5,3,4,3,3,2,3,5,2,1,2,secondary school
226,5,4,2,3,2,4,4,2,5,2,4,3,4,4,5,5,3,2,2,secondary school
227,5,5,5,5,4,NA,3,4,5,3,3,5,3,2,NA,1,NA,3,1,secondary school
228,5,2,2,4,3,5,3,2,4,3,3,2,3,5,3,4,4,1,3,secondary school
229,4,3,3,5,3,4,2,3,3,1,2,1,2,5,4,4,3,2,3,secondary school
230,4,3,4,2,4,1,1,4,3,1,4,2,5,3,3,2,2,3,3,secondary school
231,5,2,2,5,4,5,5,5,3,1,3,4,3,3,3,3,5,2,3,secondary school
232,5,1,3,2,3,2,2,4,5,3,3,1,2,3,5,1,5,1,1,secondary school
233,5,3,1,2,4,4,1,2,3,2,2,3,4,5,3,1,4,3,1,secondary school
234,4,4,4,2,2,4,3,4,4,4,4,4,4,2,4,3,4,4,1,primary school
235,4,4,4,4,3,2,1,4,5,4,4,2,4,1,3,4,5,1,1,college/bachelor degree
236,5,3,1,1,1,3,3,3,5,4,2,1,1,3,4,2,4,1,2,secondary school
237,1,3,3,3,2,3,5,4,4,3,3,2,4,3,4,2,4,1,1,secondary school
238,5,4,4,2,1,3,3,4,3,1,1,5,4,3,2,2,5,3,2,secondary school
239,5,2,2,1,2,2,3,4,2,1,1,5,3,2,3,2,4,1,1,primary school
240,5,3,4,2,1,5,2,2,4,1,3,3,3,4,4,4,2,2,4,secondary school
241,3,4,2,1,1,1,1,2,3,2,1,2,2,2,2,2,1,2,1,college/bachelor degree
242,5,4,2,1,1,3,5,3,3,1,2,5,3,3,3,3,2,1,4,secondary school
243,3,3,3,2,1,2,5,5,4,1,1,1,1,2,2,1,4,1,3,secondary school
244,NA,3,2,1,2,4,5,5,5,1,4,1,2,4,5,4,3,1,2,secondary school
245,5,3,5,2,4,3,5,5,5,2,3,2,3,3,4,3,5,2,1,secondary school
246,5,3,2,3,3,2,2,3,4,3,4,4,5,4,5,5,3,1,1,primary school
247,5,3,3,2,3,4,1,4,5,2,2,3,4,4,4,1,5,1,4,masters degree
248,5,3,3,2,1,4,5,3,5,2,3,3,4,5,3,5,4,2,1,college/bachelor degree
249,5,3,4,1,1,4,3,4,5,4,3,4,2,2,2,2,2,3,3,secondary school
250,5,3,3,4,4,4,4,5,5,4,4,2,2,4,4,4,5,2,4,secondary school
251,5,3,3,2,1,2,2,4,3,2,2,4,4,2,2,2,4,2,1,secondary school
252,5,5,5,2,2,3,5,5,5,2,4,4,4,3,3,2,4,5,2,secondary school
253,5,2,2,2,3,3,3,4,5,1,2,2,1,3,2,5,4,2,4,secondary school
254,5,3,3,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,primary school
255,5,3,5,3,2,2,5,5,3,1,1,4,2,1,5,2,5,3,2,secondary school
256,5,3,2,5,4,5,5,3,5,4,3,3,3,4,4,4,5,1,4,secondary school
257,5,3,3,4,2,1,2,5,2,1,1,3,2,1,2,1,5,1,1,secondary school
258,5,3,5,3,2,3,3,4,4,3,1,4,2,3,3,3,2,5,2,secondary school
259,5,4,1,2,1,5,1,1,5,5,2,1,1,4,3,5,2,1,1,secondary school
260,2,3,3,3,3,2,2,3,4,2,2,2,1,3,5,2,5,1,5,secondary school
261,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,secondary school
262,5,3,4,2,3,2,2,5,2,1,2,2,1,1,1,1,3,1,1,secondary school
263,5,4,3,4,2,5,4,2,5,2,1,3,3,5,3,5,2,3,4,secondary school
264,5,5,5,2,2,2,4,5,4,2,2,4,3,2,4,3,5,3,2,secondary school
265,3,3,3,3,1,3,3,5,4,3,3,5,4,3,3,3,3,3,3,college/bachelor degree
266,5,3,3,2,1,2,3,5,2,1,1,4,3,3,2,1,1,1,1,secondary school
267,5,3,3,3,2,3,3,4,4,1,1,2,2,4,3,1,4,1,2,secondary school
268,5,3,4,3,4,4,3,2,4,4,4,3,2,2,3,2,3,2,3,masters degree
269,5,3,3,2,1,2,2,5,2,1,1,2,3,3,3,2,5,1,2,college/bachelor degree
270,5,3,3,1,2,4,4,3,5,3,4,1,1,1,3,2,4,2,4,secondary school
271,5,3,3,2,1,1,3,4,5,4,5,5,5,5,5,5,3,2,1,college/bachelor degree
272,5,3,4,3,1,1,1,4,5,5,5,5,5,4,5,4,2,1,1,secondary school
273,5,3,2,4,3,5,3,2,5,5,5,2,5,4,3,5,2,1,5,secondary school
274,5,3,4,2,2,4,4,4,4,2,4,4,4,5,4,4,4,4,3,college/bachelor degree
275,5,4,5,3,3,2,2,4,3,1,1,4,3,2,4,1,3,2,1,secondary school
276,5,3,3,3,4,4,5,3,4,4,3,2,2,4,3,3,5,4,3,college/bachelor degree
277,5,4,5,3,5,2,2,5,5,4,3,1,1,1,4,3,3,1,1,college/bachelor degree
278,5,3,2,1,3,3,1,4,5,3,1,2,2,3,5,1,2,2,2,secondary school
279,5,4,3,5,2,4,3,3,4,2,3,5,5,2,3,5,4,3,3,secondary school
280,5,3,4,2,2,2,1,4,3,1,3,3,3,1,1,1,2,2,1,college/bachelor degree
281,5,3,4,2,1,3,4,2,5,5,3,2,3,2,2,4,5,5,2,secondary school
282,5,3,4,2,3,4,1,2,4,4,5,4,4,5,5,2,5,3,2,secondary school
283,5,3,1,1,2,1,2,3,2,1,1,1,2,1,2,2,3,1,1,secondary school
284,5,3,4,2,3,3,2,4,4,2,4,4,NA,5,3,2,3,3,2,secondary school
285,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,secondary school
286,5,4,3,1,1,3,3,5,5,1,1,3,1,2,1,1,1,1,4,secondary school
287,5,3,3,2,2,4,3,4,4,1,3,5,5,3,3,4,4,1,1,masters degree
288,5,3,3,1,1,3,2,4,4,2,4,4,1,3,3,4,2,3,3,secondary school
289,5,3,5,3,NA,3,1,2,3,2,1,4,4,2,3,1,4,5,1,secondary school
290,5,3,4,2,2,3,4,4,4,2,2,4,1,2,4,1,NA,2,3,college/bachelor degree
291,4,3,4,1,1,2,4,4,4,1,1,4,3,4,4,3,4,1,1,secondary school
292,4,3,3,3,3,3,3,3,5,4,4,3,4,3,4,3,3,2,3,secondary school
293,5,4,5,2,3,2,5,5,4,1,3,3,3,3,3,3,5,2,1,secondary school
294,5,1,2,2,2,4,4,1,5,4,5,1,4,3,3,5,2,1,2,primary school
295,5,3,2,2,1,4,2,3,4,1,4,NA,4,4,3,4,4,1,2,secondary school
296,5,3,3,2,5,3,3,4,5,3,2,2,4,3,5,5,3,1,4,secondary school
297,5,4,5,1,1,1,1,5,3,2,2,2,4,1,3,3,1,5,1,college/bachelor degree
298,5,3,2,1,2,3,2,2,3,2,3,1,3,3,2,4,2,4,2,secondary school
299,5,3,5,2,3,2,2,4,3,1,1,5,4,4,5,1,5,2,1,secondary school
