ID,supVar,Music,Slow.songs.or.fast.songs,Dance,Folk,Country,Classical.music,Musical,Pop,Rock,Metal.or.Hardrock,Punk,Hiphop..Rap,Reggae..Ska,Swing..Jazz,Rock.n.roll,Alternative,Latino,Techno..Trance,Opera,Age,Gender,Village...town,Education
17,A,5,3,3,1,1,1,2,4,4,1,3,2,3,2,3,1,1,4,1,19,female,city,college/bachelor degree
18,A,5,3,3,3,3,2,2,4,4,2,3,3,4,3,3,1,2,1,3,20,female,village,secondary school
19,A,5,3,5,4,3,4,5,5,4,4,3,4,4,4,4,4,4,4,3,18,male,city,secondary school
20,A,5,4,3,3,2,4,2,2,4,5,2,1,4,5,4,3,4,3,2,18,male,city,secondary school
21,A,5,3,3,2,3,4,3,2,5,5,4,4,3,5,4,5,3,3,4,20,male,city,secondary school
22,A,5,5,1,1,3,2,2,2,5,5,4,1,2,1,4,3,2,1,2,24,male,city,secondary school
23,A,5,3,3,2,3,3,3,4,NA,1,2,2,1,1,3,2,3,3,2,22,female,city,college/bachelor degree
24,A,5,3,4,2,2,2,4,4,5,2,3,3,3,3,3,1,4,1,1,20,female,city,secondary school
25,A,5,2,3,1,1,4,3,3,5,5,5,1,1,1,2,3,2,3,4,19,female,city,secondary school
26,A,5,3,4,2,1,2,3,5,1,1,1,3,1,2,1,1,4,2,1,20,female,city,secondary school
27,A,5,5,5,5,4,5,3,4,4,3,2,2,1,3,5,3,5,2,2,22,female,city,college/bachelor degree
28,A,4,5,3,4,1,3,2,2,4,2,4,2,4,2,3,4,3,4,2,19,female,city,secondary school
29,A,5,3,5,1,1,1,1,3,4,1,3,5,2,1,4,3,2,3,1,20,male,village,secondary school
30,A,5,4,3,4,2,3,3,3,4,1,3,3,4,3,4,3,4,3,2,19,female,village,secondary school
31,A,4,3,4,3,3,3,3,4,4,2,2,4,3,4,3,3,3,3,3,25,male,city,secondary school
32,A,4,3,4,1,3,2,3,5,3,1,1,3,3,2,1,1,5,1,2,22,female,city,secondary school
33,A,5,5,3,1,3,2,3,3,4,3,4,4,2,2,4,4,2,3,1,20,female,city,secondary school
34,A,5,4,2,2,3,4,5,4,3,1,1,1,3,4,4,3,2,1,5,27,female,city,masters degree
35,A,5,4,3,2,1,3,4,4,5,3,4,2,3,3,4,4,2,1,1,20,male,city,college/bachelor degree
36,A,5,3,3,3,1,4,5,5,3,1,1,4,3,1,3,3,5,1,1,19,female,village,secondary school
37,A,5,3,1,3,2,3,4,4,4,1,1,1,1,1,1,1,1,1,4,18,female,city,secondary school
38,A,5,5,1,1,1,5,1,2,3,5,2,1,2,2,2,1,1,1,1,21,male,city,secondary school
39,A,5,5,5,3,1,5,2,5,4,1,2,4,5,2,2,1,3,4,4,23,female,village,secondary school
40,A,5,3,3,3,2,2,3,5,5,4,4,1,2,1,5,2,1,2,2,21,female,city,secondary school
41,A,4,3,4,1,1,1,1,5,1,1,1,3,2,1,1,1,2,3,1,26,female,city,secondary school
42,A,5,4,5,5,5,5,1,1,4,5,1,5,5,5,5,5,5,5,1,20,male,city,college/bachelor degree
43,A,5,5,2,2,2,3,4,5,5,4,4,3,3,3,3,4,3,3,1,19,female,city,secondary school
44,A,5,4,3,1,1,2,2,5,4,1,2,3,2,2,2,4,3,3,1,20,female,city,college/bachelor degree
45,A,4,4,4,2,1,3,3,4,4,1,1,3,1,3,3,4,5,4,3,25,female,village,masters degree
46,A,5,4,5,2,2,4,3,5,4,1,2,3,3,3,5,1,4,3,4,27,male,NA,masters degree
47,A,5,3,4,3,4,1,5,5,5,3,2,5,2,3,5,4,5,2,2,21,female,city,college/bachelor degree
48,A,5,3,3,1,1,2,3,4,4,2,2,1,3,3,NA,4,3,2,3,19,female,city,secondary school
49,A,5,4,3,1,1,1,4,3,2,1,2,5,5,2,2,2,4,2,1,20,female,village,secondary school
50,A,5,4,2,1,2,2,2,3,5,3,5,3,2,2,4,2,1,2,1,20,female,city,primary school
51,A,4,3,2,4,2,5,5,5,5,2,4,4,4,3,4,4,5,1,2,19,female,city,college/bachelor degree
52,A,5,3,3,3,1,4,3,5,4,3,2,2,4,4,4,3,5,3,2,19,female,city,secondary school
53,A,5,3,5,5,5,5,5,5,5,4,2,5,5,5,5,2,5,2,5,21,female,village,secondary school
54,A,5,3,4,4,3,4,5,4,3,2,2,3,3,3,3,3,5,2,5,18,female,city,secondary school
55,A,5,3,5,5,3,5,5,5,5,4,3,3,3,4,4,3,5,4,5,21,female,city,college/bachelor degree
56,A,5,3,4,2,2,4,3,4,3,3,2,4,3,3,4,4,4,5,3,23,female,village,college/bachelor degree
57,A,5,3,1,2,3,4,3,4,5,1,4,2,3,4,5,5,1,1,4,20,female,city,secondary school
58,A,5,3,3,3,2,3,2,2,5,2,2,2,2,4,5,5,1,1,2,21,female,city,secondary school
59,A,5,5,5,3,2,3,2,5,1,1,1,2,2,1,2,2,3,3,1,19,male,village,secondary school
60,A,5,4,2,1,2,3,1,3,4,3,5,3,3,4,5,5,1,4,3,22,male,city,college/bachelor degree
61,A,5,2,2,2,2,4,4,4,4,1,3,2,3,3,4,4,2,1,3,23,male,city,college/bachelor degree
62,A,5,3,5,1,2,4,3,4,4,1,2,3,2,3,3,3,4,4,3,23,male,city,secondary school
63,A,5,3,5,4,5,4,4,5,4,5,4,5,4,5,5,5,4,5,5,23,male,city,secondary school
64,A,5,4,NA,1,3,2,1,2,3,1,NA,5,4,3,3,1,3,5,1,22,male,city,college/bachelor degree
65,A,5,3,3,1,1,1,4,4,5,1,3,2,1,2,2,1,3,2,2,18,female,city,primary school
66,A,4,3,3,1,2,2,1,3,3,3,2,4,2,2,2,1,2,4,2,17,male,city,primary school
67,A,4,3,4,2,2,2,4,5,3,4,3,3,3,3,2,2,4,5,1,20,male,village,secondary school
68,A,3,4,4,3,2,2,4,5,1,1,1,4,3,4,4,1,5,1,1,24,female,village,college/bachelor degree
69,A,5,5,3,2,1,2,4,3,5,5,5,1,5,4,4,3,2,4,2,18,female,village,college/bachelor degree
70,A,5,4,1,1,1,1,4,5,4,1,1,1,1,1,2,1,4,1,2,20,female,city,secondary school
71,A,5,3,5,2,2,2,3,5,3,1,1,5,2,3,1,1,2,3,1,17,male,city,secondary school
72,A,4,3,2,3,1,4,1,4,1,1,1,4,4,1,2,3,1,3,1,20,male,city,secondary school
73,A,5,3,2,2,2,2,5,5,5,2,4,4,2,2,3,3,5,1,1,28,female,city,secondary school
74,A,5,3,3,2,2,2,1,5,2,1,2,5,2,2,2,2,4,3,1,21,male,city,secondary school
75,A,5,3,2,1,4,5,3,2,1,1,1,5,4,1,1,1,1,2,4,22,male,city,masters degree
76,A,5,3,3,4,4,3,1,1,5,4,4,3,5,4,5,4,4,1,2,20,male,village,secondary school
77,A,4,4,4,1,1,2,2,2,2,1,NA,4,1,1,2,1,1,1,1,18,male,city,secondary school
78,A,5,3,5,1,2,2,2,5,4,2,1,4,2,2,2,2,5,5,1,21,female,city,secondary school
79,A,4,4,4,2,4,1,5,5,3,1,1,4,5,5,5,3,5,4,2,24,female,village,college/bachelor degree
80,A,5,3,4,4,4,3,4,5,5,2,2,5,3,3,3,3,4,4,4,21,female,city,secondary school
81,A,5,3,4,2,2,2,3,4,5,2,3,4,4,3,4,2,5,3,2,19,female,city,secondary school
82,A,5,4,4,1,2,3,3,5,4,2,3,4,4,3,4,3,5,3,3,22,male,city,secondary school
83,A,5,5,1,3,1,3,2,1,5,5,4,1,1,2,2,5,1,1,3,18,female,city,secondary school
84,A,5,3,5,1,2,4,4,5,5,3,1,3,2,4,3,1,5,5,3,22,female,city,secondary school
85,A,5,3,1,1,4,5,5,1,5,5,5,4,4,5,5,4,3,1,5,19,female,city,secondary school
86,A,5,2,3,3,5,5,3,3,4,4,1,1,1,2,3,3,2,4,3,22,male,city,college/bachelor degree
87,A,4,3,4,3,3,3,2,4,5,3,3,4,3,3,3,3,2,3,3,24,male,city,masters degree
88,A,5,4,4,1,2,2,4,4,5,2,4,3,5,3,4,4,5,2,1,18,female,village,college/bachelor degree
89,A,5,5,5,1,1,5,2,5,5,1,1,1,1,5,5,4,5,5,1,21,female,city,secondary school
90,A,5,3,3,2,1,4,3,3,5,3,3,1,2,4,4,4,2,1,3,22,female,village,masters degree
91,A,4,2,3,2,1,3,4,3,4,1,3,1,3,1,2,3,1,1,1,19,female,village,secondary school
92,A,5,5,1,5,1,NA,5,3,5,5,5,1,5,1,3,1,1,1,1,18,female,village,secondary school
93,A,5,2,1,3,4,4,4,2,3,1,2,1,3,5,4,3,3,1,4,19,female,city,college/bachelor degree
94,A,5,4,1,5,5,4,4,4,3,3,3,1,1,5,4,1,1,1,4,24,male,village,masters degree
95,A,5,5,5,1,1,1,2,4,3,1,3,5,2,1,3,3,1,4,1,21,male,city,secondary school
96,A,5,3,3,2,2,4,3,3,3,1,2,5,5,4,4,2,3,2,2,21,male,city,college/bachelor degree
97,A,5,3,1,1,1,1,1,2,4,5,4,3,1,1,1,4,1,4,1,19,male,city,college/bachelor degree
98,A,5,3,2,1,1,1,1,2,1,1,1,5,2,2,1,1,1,2,1,19,male,village,primary school
99,A,3,5,5,1,1,1,1,3,5,2,1,1,3,2,2,5,5,3,1,22,male,village,secondary school
100,A,5,3,4,1,1,2,2,4,2,1,3,2,4,1,2,1,4,1,1,18,female,city,secondary school
101,A,5,4,4,3,2,4,5,4,5,3,2,4,4,3,3,2,3,2,2,21,female,city,secondary school
102,A,5,3,1,3,2,3,1,2,4,5,4,1,4,3,3,3,1,1,2,18,male,village,secondary school
103,A,5,3,1,2,3,5,4,1,5,2,5,1,4,5,5,5,2,1,4,20,female,city,secondary school
104,A,5,5,5,2,2,NA,4,5,1,1,1,5,5,4,3,2,5,4,4,22,male,city,secondary school
105,A,4,4,3,3,2,4,2,2,4,4,3,3,3,4,4,4,3,3,2,21,male,village,secondary school
106,A,5,5,1,3,1,3,2,2,4,5,1,1,2,3,1,1,1,1,2,24,male,village,college/bachelor degree
107,A,5,3,4,4,5,5,3,4,5,1,2,4,4,4,5,3,5,3,4,19,male,city,secondary school
108,A,5,3,1,1,1,2,2,2,4,4,1,1,3,4,2,4,2,1,NA,18,female,city,secondary school
109,A,4,3,2,2,1,4,1,2,4,4,3,2,1,1,2,3,2,2,3,17,female,city,primary school
110,A,5,2,2,2,4,4,2,3,5,5,3,2,2,2,3,1,3,1,4,18,male,city,secondary school
111,A,5,4,4,5,2,3,1,4,4,1,1,1,4,5,4,4,4,4,1,21,male,city,college/bachelor degree
112,A,5,3,4,3,2,5,3,3,4,2,2,3,3,4,4,5,2,4,4,22,female,village,college/bachelor degree
113,A,5,3,4,2,2,4,3,3,3,2,2,1,3,4,2,3,5,4,1,20,female,city,secondary school
114,A,3,4,4,2,3,1,2,4,4,2,1,NA,1,1,2,2,2,5,1,21,female,village,college/bachelor degree
115,A,5,3,2,1,1,3,4,4,4,1,3,2,2,2,3,3,1,1,4,19,female,city,secondary school
116,A,5,4,5,2,2,5,4,5,5,2,2,3,3,3,2,3,5,3,2,17,female,city,secondary school
117,A,5,3,2,2,2,2,1,3,5,1,2,1,1,2,4,5,2,1,1,21,female,city,college/bachelor degree
118,A,5,3,2,2,1,1,3,5,3,2,1,1,1,1,2,1,4,1,1,18,female,village,secondary school
119,A,5,3,1,2,2,4,1,3,4,2,4,2,4,4,4,4,2,1,1,23,male,city,college/bachelor degree
120,A,4,2,4,2,1,3,2,4,2,2,1,2,2,2,2,1,2,3,2,16,female,village,secondary school
121,A,5,5,4,1,2,4,4,2,5,5,2,1,3,5,5,3,4,3,2,23,male,city,college/bachelor degree
122,A,4,3,2,3,4,2,1,4,4,2,2,4,2,2,4,1,1,3,1,21,male,city,secondary school
123,A,5,3,3,2,2,5,3,1,5,2,4,1,3,4,4,5,3,1,3,23,female,city,masters degree
124,A,5,3,3,3,3,3,4,3,5,3,1,3,1,5,5,3,3,1,3,20,female,village,secondary school
125,A,4,4,1,4,NA,5,5,3,5,3,3,1,2,4,5,2,3,1,3,20,male,city,secondary school
126,A,5,3,3,3,2,3,2,2,4,3,3,2,4,5,3,4,3,2,2,20,female,city,secondary school
127,A,3,5,4,1,1,3,1,4,4,1,4,4,1,1,1,2,1,1,1,20,female,village,secondary school
128,A,4,3,3,3,4,4,3,4,4,3,3,3,4,3,4,4,2,3,3,19,female,city,primary school
129,A,5,5,5,1,5,5,5,5,5,5,1,2,3,1,5,5,5,5,2,15,female,city,primary school
130,A,5,4,5,3,1,2,2,4,5,2,2,2,3,4,3,4,3,1,1,20,female,village,secondary school
131,A,4,2,2,1,1,4,2,2,5,3,3,1,2,2,3,1,3,3,2,19,female,village,secondary school
132,A,5,4,3,1,1,2,2,4,2,1,2,5,2,1,1,1,1,3,1,18,male,village,primary school
133,A,5,4,3,1,1,1,1,4,4,1,5,2,4,3,2,2,2,1,1,15,female,village,primary school
134,A,5,3,2,4,1,4,2,1,3,1,1,1,2,5,1,1,3,1,3,20,female,city,college/bachelor degree
135,A,5,3,4,3,3,3,3,3,3,1,1,4,4,4,4,4,4,4,2,16,female,village,secondary school
136,A,5,3,2,1,3,5,1,3,5,4,4,3,5,4,4,5,1,1,3,18,male,village,secondary school
137,A,5,3,4,3,2,3,2,4,3,1,1,5,1,1,1,1,1,1,3,21,male,village,secondary school
138,A,5,3,4,3,3,5,5,5,4,2,2,4,3,5,4,3,4,2,2,NA,NA,village,primary school
139,A,5,3,2,3,3,4,5,2,1,1,1,3,3,4,4,2,3,1,2,20,female,village,secondary school
140,A,5,4,5,3,2,3,3,5,4,1,2,5,3,4,4,1,2,3,2,19,female,village,college/bachelor degree
141,A,5,4,3,2,1,2,3,4,4,2,2,2,2,5,3,2,4,3,2,19,female,city,college/bachelor degree
142,A,3,4,1,3,1,3,1,3,5,5,4,4,3,1,1,5,5,2,1,19,female,city,primary school
143,A,5,4,4,1,3,2,2,4,4,1,1,3,2,1,1,2,3,2,1,NA,male,city,primary school
144,A,5,4,4,2,1,1,2,4,4,2,3,5,4,1,1,3,3,3,1,20,female,city,secondary school
145,A,5,2,3,1,2,3,2,NA,5,1,3,2,2,2,4,3,4,4,2,21,male,city,secondary school
146,A,1,4,4,1,1,2,2,2,4,1,1,1,2,1,1,3,2,3,2,19,female,village,secondary school
147,A,5,3,5,2,1,4,1,5,4,3,4,5,1,1,1,1,2,NA,1,21,male,city,secondary school
148,A,5,4,3,2,3,2,2,3,5,4,3,5,2,2,2,4,2,1,1,18,male,city,secondary school
149,A,4,3,4,4,4,3,3,5,3,2,3,4,3,2,4,3,3,3,2,20,male,village,secondary school
150,A,2,3,1,3,1,3,4,1,2,2,2,3,2,1,1,1,1,1,2,19,male,city,college/bachelor degree
151,A,5,2,2,2,3,4,4,3,5,5,3,1,2,4,4,3,1,1,4,22,female,city,secondary school
152,A,5,4,3,1,1,3,2,2,4,4,4,2,5,4,4,4,2,2,1,20,male,city,secondary school
153,A,5,3,5,2,2,3,3,4,4,2,1,4,3,3,4,3,2,2,2,25,male,city,college/bachelor degree
154,A,2,5,5,2,2,3,2,4,2,1,2,4,1,4,2,1,3,3,3,21,female,city,college/bachelor degree
155,A,5,3,1,2,4,5,1,1,5,4,4,2,2,3,3,3,2,1,3,24,male,city,college/bachelor degree
156,A,5,4,4,3,3,5,2,3,3,2,3,3,2,4,3,4,2,2,3,19,female,city,secondary school
157,A,5,4,2,4,3,4,2,3,5,2,5,3,5,2,3,3,2,1,2,25,male,city,doctorate degree
158,A,5,5,4,4,4,2,2,4,4,4,4,2,2,2,1,2,1,1,2,26,male,village,masters degree
159,A,5,3,4,2,1,3,2,5,4,1,3,4,5,4,3,3,2,5,1,15,female,village,currently a primary school pupil
160,A,5,3,4,4,3,5,4,4,5,3,3,3,4,3,3,4,3,3,3,20,male,city,secondary school
161,A,5,3,3,2,1,2,1,1,5,4,5,3,5,4,4,5,1,3,1,19,male,city,secondary school
162,A,5,3,2,2,2,2,2,4,5,3,3,4,3,2,3,2,2,3,2,20,female,city,secondary school
163,A,4,2,3,5,4,5,2,4,3,1,1,5,4,3,2,1,5,1,3,21,male,city,college/bachelor degree
164,A,5,5,3,1,1,2,1,4,3,2,1,1,1,1,1,3,1,5,1,22,male,city,secondary school
165,A,5,4,4,2,1,3,2,4,NA,1,3,2,2,4,4,5,2,3,2,20,male,village,secondary school
166,A,5,4,5,2,4,3,1,4,1,1,1,5,3,3,2,1,5,2,1,20,female,city,college/bachelor degree
167,A,5,5,1,2,1,3,1,1,3,5,2,1,1,1,1,2,2,1,5,21,female,city,secondary school
168,A,3,3,3,2,2,NA,2,3,4,3,4,4,4,3,3,3,3,3,2,21,male,village,primary school
169,A,5,4,4,1,2,4,3,4,4,1,3,3,3,3,4,2,1,1,1,20,female,city,secondary school
170,A,5,3,2,1,2,4,4,3,5,4,3,1,1,3,3,4,1,1,1,19,female,village,secondary school
171,A,4,3,2,3,2,2,1,3,4,2,2,2,3,5,4,5,4,1,1,19,male,city,secondary school
172,A,5,4,3,1,2,4,3,4,4,1,1,4,3,3,3,2,1,1,1,20,male,city,secondary school
173,A,5,3,2,3,3,4,4,2,5,5,5,2,4,4,4,4,2,1,3,22,male,village,secondary school
174,A,5,3,2,1,2,4,4,3,2,1,1,2,1,2,3,2,1,5,4,21,male,city,secondary school
175,A,5,2,1,5,3,3,3,1,1,1,1,1,1,1,1,1,3,1,5,26,male,city,secondary school
176,A,5,3,1,1,1,5,3,3,5,5,2,3,4,4,4,2,4,2,1,17,female,city,primary school
177,A,5,3,3,NA,1,1,1,3,5,5,3,2,4,3,5,4,1,2,1,22,male,village,college/bachelor degree
178,A,5,3,1,4,2,4,3,1,5,5,3,1,3,3,3,5,2,1,3,26,male,city,masters degree
179,A,4,3,1,3,3,5,2,2,4,4,3,1,2,2,4,3,2,1,4,20,female,city,masters degree
180,A,4,3,1,2,2,5,2,1,1,2,1,1,1,4,1,1,1,4,5,22,male,city,secondary school
181,A,4,4,2,1,1,3,3,2,5,4,5,2,2,1,4,4,1,1,1,21,male,city,secondary school
182,A,5,3,4,3,3,4,3,3,4,3,3,4,4,5,3,3,5,3,3,23,male,city,secondary school
183,A,5,3,4,3,2,4,4,4,5,4,3,2,4,3,2,3,4,1,5,19,female,city,secondary school
184,A,5,3,3,2,1,2,5,4,3,1,1,5,4,4,3,4,3,4,3,20,male,city,college/bachelor degree
185,A,5,4,2,2,2,3,4,2,5,1,2,1,1,4,5,5,1,1,2,21,female,city,college/bachelor degree
186,A,3,3,3,1,1,2,5,3,2,1,1,4,3,3,4,1,5,3,1,19,female,city,secondary school
187,A,4,2,2,4,2,3,3,4,2,1,1,1,1,3,2,2,3,2,4,29,female,city,masters degree
188,A,5,3,1,2,2,2,1,4,3,2,2,1,1,2,1,5,1,5,1,22,female,city,college/bachelor degree
189,A,3,3,3,3,2,5,4,3,3,1,1,3,2,2,2,2,2,1,4,19,female,village,college/bachelor degree
190,A,5,3,1,3,2,5,3,1,4,5,4,1,1,1,3,2,1,1,4,17,female,city,primary school
191,A,4,4,2,2,2,4,2,2,4,5,3,2,3,2,3,3,2,2,3,16,female,city,primary school
192,A,5,3,2,5,2,4,5,5,2,1,1,1,3,4,3,4,3,1,4,29,female,village,masters degree
193,A,5,1,4,1,2,3,3,5,4,1,3,5,2,1,3,2,3,4,1,18,female,city,secondary school
194,A,5,3,1,4,3,5,3,1,5,5,4,1,3,3,5,5,1,1,3,26,male,city,masters degree
195,A,5,4,1,2,1,3,2,2,4,2,4,2,3,1,5,5,1,1,1,19,male,city,secondary school
196,A,5,3,2,2,2,3,2,2,3,1,1,5,3,3,3,3,2,1,2,19,male,city,secondary school
197,A,5,3,2,2,2,2,3,4,4,3,3,4,4,3,3,3,3,3,3,20,female,city,secondary school
198,A,5,3,3,2,3,1,4,2,2,1,1,3,2,2,1,1,3,1,1,22,female,city,college/bachelor degree
199,A,5,3,3,4,2,2,2,3,5,3,5,5,4,2,5,2,2,2,2,20,male,village,secondary school
200,A,5,4,4,1,1,1,1,2,3,1,1,4,2,1,1,1,2,4,1,21,male,village,secondary school
201,A,4,3,3,1,2,4,3,4,4,4,3,5,4,3,4,2,2,2,1,21,male,city,secondary school
202,A,5,3,2,4,3,3,3,5,5,NA,3,5,5,1,5,5,3,2,1,18,NA,village,secondary school
203,A,5,3,5,1,1,1,1,3,2,1,1,5,3,1,1,1,1,4,1,15,male,city,primary school
204,A,5,3,4,2,2,3,1,4,5,3,3,3,3,2,2,2,4,3,3,19,female,city,college/bachelor degree
205,A,5,3,3,3,2,3,3,2,5,4,4,2,5,4,5,4,3,1,2,24,female,city,college/bachelor degree
206,A,5,1,2,4,3,5,5,4,4,3,1,1,1,4,5,3,4,1,5,19,female,city,secondary school
207,A,5,3,5,2,2,5,5,3,4,4,3,1,2,4,4,3,1,1,5,25,male,village,college/bachelor degree
208,A,5,3,2,3,3,4,5,3,3,1,4,2,2,3,4,2,4,1,4,20,female,city,college/bachelor degree
209,A,5,3,3,2,1,3,2,4,4,1,5,4,5,5,5,3,3,1,2,19,female,village,secondary school
210,A,5,2,4,3,3,4,3,2,5,4,3,5,4,5,4,2,4,2,2,21,male,village,secondary school
211,A,5,4,5,5,5,5,1,4,5,4,3,4,4,4,5,3,4,5,1,23,male,village,secondary school
212,A,5,4,5,1,2,2,5,5,5,1,1,5,4,4,5,2,5,4,1,21,female,village,secondary school
213,A,5,3,1,3,3,5,1,2,4,2,3,3,2,4,5,5,1,2,5,20,male,city,secondary school
214,A,5,4,4,2,3,3,4,5,5,2,5,4,2,2,2,4,3,5,2,20,female,village,secondary school
215,A,4,3,2,2,2,3,3,3,5,4,3,2,2,5,5,4,3,1,2,18,female,city,primary school
216,A,1,3,2,2,1,1,1,3,1,1,1,5,1,1,1,1,5,1,1,27,male,city,secondary school
217,A,5,4,1,1,1,1,1,1,4,5,3,2,1,1,3,1,1,2,1,17,female,city,secondary school
218,A,5,3,4,1,3,2,5,4,3,1,2,3,1,2,4,4,3,2,3,19,female,village,primary school
219,A,5,4,2,1,3,2,3,4,3,1,1,4,3,1,2,2,1,3,2,18,male,village,primary school
220,A,5,5,5,1,1,1,2,3,1,1,1,5,2,1,1,1,2,5,1,26,male,city,secondary school
221,A,5,3,4,3,3,4,2,1,3,1,2,5,4,4,2,5,3,1,3,18,male,village,secondary school
222,A,5,3,4,5,1,4,3,3,5,5,4,5,5,5,4,4,3,4,3,30,male,city,masters degree
223,A,5,3,3,2,4,4,3,5,5,3,3,2,1,4,3,3,3,1,1,24,female,city,secondary school
224,A,5,3,3,3,2,3,1,4,2,2,1,4,3,4,2,2,5,2,2,20,female,village,secondary school
225,A,5,3,2,2,3,5,4,4,5,3,4,3,3,2,3,5,2,1,2,20,male,village,secondary school
226,A,5,4,2,3,2,4,4,2,5,2,4,3,4,4,5,5,3,2,2,20,male,village,secondary school
227,A,5,5,5,5,4,NA,3,4,5,3,3,5,3,2,NA,1,NA,3,1,25,NA,village,secondary school
228,A,5,2,2,4,3,5,3,2,4,3,3,2,3,5,3,4,4,1,3,19,female,village,secondary school
229,A,4,3,3,5,3,4,2,3,3,1,2,1,2,5,4,4,3,2,3,20,female,village,secondary school
230,A,4,3,4,2,4,1,1,4,3,1,4,2,5,3,3,2,2,3,3,21,male,village,secondary school
231,A,5,2,2,5,4,5,5,5,3,1,3,4,3,3,3,3,5,2,3,19,female,village,secondary school
232,A,5,1,3,2,3,2,2,4,5,3,3,1,2,3,5,1,5,1,1,19,female,village,secondary school
233,A,5,3,1,2,4,4,1,2,3,2,2,3,4,5,3,1,4,3,1,19,female,village,secondary school
234,A,4,4,4,2,2,4,3,4,4,4,4,4,4,2,4,3,4,4,1,18,female,city,primary school
235,A,4,4,4,4,3,2,1,4,5,4,4,2,4,1,3,4,5,1,1,18,female,village,college/bachelor degree
236,A,5,3,1,1,1,3,3,3,5,4,2,1,1,3,4,2,4,1,2,16,female,city,secondary school
237,A,1,3,3,3,2,3,5,4,4,3,3,2,4,3,4,2,4,1,1,19,female,city,secondary school
238,A,5,4,4,2,1,3,3,4,3,1,1,5,4,3,2,2,5,3,2,18,female,city,secondary school
239,A,5,2,2,1,2,2,3,4,2,1,1,5,3,2,3,2,4,1,1,19,female,city,primary school
240,A,5,3,4,2,1,5,2,2,4,1,3,3,3,4,4,4,2,2,4,21,female,city,secondary school
241,A,3,4,2,1,1,1,1,2,3,2,1,2,2,2,2,2,1,2,1,21,male,city,college/bachelor degree
242,A,5,4,2,1,1,3,5,3,3,1,2,5,3,3,3,3,2,1,4,18,female,city,secondary school
243,A,3,3,3,2,1,2,5,5,4,1,1,1,1,2,2,1,4,1,3,21,female,city,secondary school
244,A,NA,3,2,1,2,4,5,5,5,1,4,1,2,4,5,4,3,1,2,17,female,city,secondary school
245,A,5,3,5,2,4,3,5,5,5,2,3,2,3,3,4,3,5,2,1,20,female,city,secondary school
246,A,5,3,2,3,3,2,2,3,4,3,4,4,5,4,5,5,3,1,1,19,female,city,primary school
247,A,5,3,3,2,3,4,1,4,5,2,2,3,4,4,4,1,5,1,4,27,male,city,masters degree
248,A,5,3,3,2,1,4,5,3,5,2,3,3,4,5,3,5,4,2,1,22,female,city,college/bachelor degree
249,A,5,3,4,1,1,4,3,4,5,4,3,4,2,2,2,2,2,3,3,19,female,city,secondary school
250,A,5,3,3,4,4,4,4,5,5,4,4,2,2,4,4,4,5,2,4,19,female,village,secondary school
251,A,5,3,3,2,1,2,2,4,3,2,2,4,4,2,2,2,4,2,1,20,female,city,secondary school
252,A,5,5,5,2,2,3,5,5,5,2,4,4,4,3,3,2,4,5,2,19,female,village,secondary school
253,A,5,2,2,2,3,3,3,4,5,1,2,2,1,3,2,5,4,2,4,20,female,village,secondary school
254,A,5,3,3,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,17,female,city,primary school
